,maid,datetimestamp,latitude,longitude,homegeohash9,workgeohash,Home_Distance,Work_Distance
6691,10f5b31e-9829-42df-9c22-bf0378c90655,12/15/2023 13:04,-37.62187,145.0405,r1r15f9f9,r1r15f9,6.867948893,6.809421856
6692,10f5b31e-9829-42df-9c22-bf0378c90655,12/27/2023 2:39,-37.6218,145.04054,r1r15f9f9,r1r15f9,6.867948893,6.809421856
6693,10f5b31e-9829-42df-9c22-bf0378c90655,12/7/2023 2:33,-37.62183,145.040543,r1r15f9f9,r1r15f9,6.867948893,6.809421856
6758,112e4288-57c0-4e2c-8ffc-e7f25043bf5b,12/28/2023 1:12,-37.90087632,145.1054089,r1r0myzyz,r1r0myz,7.799040683,8.248190185
6759,112e4288-57c0-4e2c-8ffc-e7f25043bf5b,12/16/2023 20:59,-37.88755771,145.106724,r1r0myzyz,r1r0myz,7.799040683,8.248190185
6760,112e4288-57c0-4e2c-8ffc-e7f25043bf5b,12/10/2023 19:38,-37.88743554,145.1067364,r1r0myzyz,r1r0myz,7.799040683,8.248190185
6761,112e4288-57c0-4e2c-8ffc-e7f25043bf5b,12/3/2023 11:29,-37.92086248,145.1204023,r1r0myzyz,r1r0myz,7.799040683,8.248190185
6790,11465eea-ce35-4cc0-988d-4d27428bccc8,12/2/2023 1:05,-37.75684,145.06955,r1r1j7r7r,r1r1j7r,6.656914689,6.981695723
6791,11465eea-ce35-4cc0-988d-4d27428bccc8,12/24/2023 16:54,-37.9977,145.21504,r1r1j7r7r,r1r1j7r,6.656914689,6.981695723
6792,11465eea-ce35-4cc0-988d-4d27428bccc8,12/29/2023 21:42,-37.75873,145.06925,r1r1j7r7r,r1r1j7r,6.656914689,6.981695723
6793,11465eea-ce35-4cc0-988d-4d27428bccc8,12/17/2023 3:44,-37.68952,144.98345,r1r1j7r7r,r1r1j7r,6.656914689,6.981695723
6858,11624bfe-1c8c-498b-9287-0d7c0dbbec06,12/9/2023 3:19,-37.775,145.09346,r1r1hj1j1,r1qbshm,7.839719666,33.1276018
6859,11624bfe-1c8c-498b-9287-0d7c0dbbec06,12/15/2023 7:09,-37.77503,145.09331,r1r1hj1j1,r1qbshm,7.839719666,33.1276018
6860,11624bfe-1c8c-498b-9287-0d7c0dbbec06,12/5/2023 6:58,-37.77509,145.09348,r1r1hj1j1,r1qbshm,7.839719666,33.1276018
6861,11624bfe-1c8c-498b-9287-0d7c0dbbec06,12/20/2023 5:56,-37.77498,145.09332,r1r1hj1j1,r1qbshm,7.839719666,33.1276018
6922,118a4d61-5081-42a1-ab40-fc3319937062,12/7/2023 4:34,-37.83328,144.96667,r1r0dukuk,r1r0duk,7.969843704,8.214976234
6923,118a4d61-5081-42a1-ab40-fc3319937062,12/25/2023 2:37,-37.83337,144.96668,r1r0dukuk,r1r0duk,7.969843704,8.214976234
6924,118a4d61-5081-42a1-ab40-fc3319937062,12/8/2023 21:54,-37.83327,144.96673,r1r0dukuk,r1r0duk,7.969843704,8.214976234
6925,118a4d61-5081-42a1-ab40-fc3319937062,12/7/2023 16:57,-37.83325,144.96665,r1r0dukuk,r1r0duk,7.969843704,8.214976234
6978,11ba6e98-9b4c-45a3-b591-3f4bcbf64093,12/16/2023 5:35,-37.77782,145.02493,r1r155454,r1r1v9u,9.016412451,20.21111995
6979,11ba6e98-9b4c-45a3-b591-3f4bcbf64093,12/17/2023 9:44,-37.7761,144.97891,r1r155454,r1r1v9u,9.016412451,20.21111995
6980,11ba6e98-9b4c-45a3-b591-3f4bcbf64093,12/9/2023 2:45,-37.83848,144.94066,r1r155454,r1r1v9u,9.016412451,20.21111995
6981,11ba6e98-9b4c-45a3-b591-3f4bcbf64093,12/20/2023 11:30,-37.83824,144.94055,r1r155454,r1r1v9u,9.016412451,20.21111995
